date,IncData
2023/5/31,1
2023/6/1,0
2023/6/2,1
2023/6/3,0
2023/6/4,0
2023/6/5,0
2023/6/6,0
2023/6/7,0
2023/6/8,1
2023/6/9,2
2023/6/10,3
2023/6/11,2
2023/6/12,3
2023/6/13,3
2023/6/14,1
2023/6/15,2
2023/6/16,5
2023/6/17,2
2023/6/18,2
2023/6/19,4
2023/6/20,2
2023/6/21,3
